"URN","SCHNAME","TOWN","Postcode","ATT8SCR","NUMBOYS","NUMGIRLS","P8MEA","shortPostcode","District","County"
136826,"Leeds East Academy","Leeds","LS146HA",32.3,"539","512",-0.87,"LS14","LEEDS","WEST YORKSHIRE"
139773,"Leeds Jewish Free School","Leeds","LS177TN",52.4,"68","68",0.45,"LS17","LEEDS","WEST YORKSHIRE"
135935,"Leeds West Academy","Leeds","LS131DQ",38.6,"673","761",-0.3,"LS13","LEEDS","WEST YORKSHIRE"
138380,"Lighthouse School Leeds","Leeds","LS166QB",7,"67","21",-2.21,"LS16","LEEDS","WEST YORKSHIRE"
135771,"Luminate Education Group","Leeds","LS31AA",17.5,"NP","NP",-2.24,"LS31","LEEDS","WEST YORKSHIRE"
136392,"The Morley Academy","Leeds","LS270PD",53.8,"725","706",0.56,"LS27","LEEDS","WEST YORKSHIRE"
108097,"Mount St Mary's Catholic High School","Leeds","LS98LA",51.8,"467","475",0.86,"LS98","LEEDS","WEST YORKSHIRE"
137704,"Otley Prince Henry's Grammar School Specialist Language College","Otley","LS212BB",53.4,"878","761",0.34,"LS21","LEEDS","WEST YORKSHIRE"
148527,"Oulton Academy","Leeds","LS268EX",46.9,"530","523",0.43,"LS26","LEEDS","WEST YORKSHIRE"
108079,"Pudsey Grammar School","Pudsey","LS287ND",45.5,"673","648",-0.12,"LS28","LEEDS","WEST YORKSHIRE"
108075,"Ralph Thoresby School","Leeds","LS167RX",40.7,"523","512",-0.5,"LS16","LEEDS","WEST YORKSHIRE"
138336,"Rodillian Academy","Wakefield","WF33PS",48,"798","837",0.24,"WF33","LEEDS","WEST YORKSHIRE"
108076,"Roundhay School","Leeds","LS81ND",56.3,"1230","1288",0.72,"LS81","LEEDS","WEST YORKSHIRE"
140565,"The Ruth Gorse Academy","Leeds","LS101HW",50.4,"648","626",0.99,"LS10","LEEDS","WEST YORKSHIRE"
139351,"St. Mary's Menston, a Catholic Voluntary Academy","Ilkley","LS296AE",56.5,"604","591",0.41,"LS29","BRADFORD","WEST YORKSHIRE"
142630,"Springwell Leeds Academy","Leeds","LS103JA",3.8,"278","48",-1.88,"LS10","LEEDS","WEST YORKSHIRE"
141883,"Temple Learning Academy","Leeds","LS150NN",29.1,"507","453",-0.63,"LS15","LEEDS","WEST YORKSHIRE"
146247,"Temple Moor High School","Leeds","LS150PT",46.3,"627","699",0.27,"LS15","LEEDS","WEST YORKSHIRE"
142604,"University Technical College Leeds","Leeds","LS101LA",45.1,"366","78",-0.1,"LS10","LEEDS","WEST YORKSHIRE"
134884,"West Specialist Inclusive Learning Centre","Pudsey","LS286HL",2.2,"178","93",-1.44,"LS28","LEEDS","WEST YORKSHIRE"
108088,"Wetherby High School","Wetherby","LS226JS",49.2,"364","370",0.29,"LS22","LEEDS","WEST YORKSHIRE"
137383,"Woodkirk Academy","Wakefield","WF31JQ",49.8,"960","839",0.15,"WF31","LEEDS","WEST YORKSHIRE"
136613,"Airedale Academy","Castleford","WF103JU",34,"497","542",-0.72,"WF10","WAKEFIELD","WEST YORKSHIRE"
139501,"Carleton High School","Pontefract","WF83NW",47.4,"515","502",0.12,"WF83","DONCASTER","SOUTH YORKSHIRE"
136633,"Castleford Academy","Castleford","WF104JQ",48.6,"780","733",0.41,"WF10","WAKEFIELD","WEST YORKSHIRE"
137001,"Crofton Academy","Wakefield","WF41NF",50,"546","494",0.26,"WF41","WAKEFIELD","WEST YORKSHIRE"
138006,"De Lacy Academy","Knottingley","WF110BZ",44.5,"462","423",-0.12,"WF11","WAKEFIELD","WEST YORKSHIRE"
138593,"The Featherstone Academy","Pontefract","WF75AJ",40.6,"287","224",-0.33,"WF75","WAKEFIELD","WEST YORKSHIRE"
131526,"High Well School","Pontefract","WF82DD",2.9,"93","13",-1.82,"WF82","WAKEFIELD","WEST YORKSHIRE"
138707,"Horbury Academy","Wakefield","WF45HE",48.9,"554","548",0.32,"WF45","WAKEFIELD","WEST YORKSHIRE"
108271,"Kettlethorpe High School","Wakefield","WF27EL",46.6,"824","862",-0.06,"WF27","WAKEFIELD","WEST YORKSHIRE"
139500,"The King's School","Pontefract","WF84JF",49,"519","514",0.1,"WF84","WAKEFIELD","WEST YORKSHIRE"
137011,"Minsthorpe Community College","Pontefract","WF92UJ",41.8,"796","784",0.21,"WF92","WAKEFIELD","WEST YORKSHIRE"
136462,"Ossett Academy and Sixth Form College","Ossett","WF50DG",52.1,"899","836",0.24,"WF50","WAKEFIELD","WEST YORKSHIRE"
136394,"Outwood Academy City Fields","Wakefield","WF14SF",38.6,"404","451",0.08,"WF14","KIRKLEES","WEST YORKSHIRE"
145937,"Outwood Academy Freeston","Normanton","WF61HZ",42.9,"511","501",-0.18,"WF61","WAKEFIELD","WEST YORKSHIRE"
145938,"Outwood Academy Hemsworth","Pontefract","WF94AB",39.7,"547","548",-0.07,"WF94","WAKEFIELD","WEST YORKSHIRE"
135961,"Outwood Grange Academy","Wakefield","WF12PF",49.4,"1001","973",-0.13,"WF12","KIRKLEES","WEST YORKSHIRE"
138950,"St Thomas a Becket Catholic Secondary School, A Voluntary Academy","Wakefield","WF26EQ",46.5,"369","362",0.29,"WF26","WAKEFIELD","WEST YORKSHIRE"
138951,"St Wilfrid's Catholic High School & Sixth Form College: A Voluntary Academy","Pontefract","WF76BD",47.7,"781","707",-0.01,"WF76","WAKEFIELD","WEST YORKSHIRE"
145579,"Trinity Academy Cathedral","Wakefield","WF28QF",47,"481","541",0.34,"WF28","WAKEFIELD","WEST YORKSHIRE"
145929,"Goole Academy","Goole","DN146AN",47.2,"628","543",0.5,"DN14","DONCASTER","SOUTH YORKSHIRE"
146129,"Howden School","Goole","DN147AL",41.2,"369","330",-0.52,"DN14","DONCASTER","SOUTH YORKSHIRE"
140866,"The Snaith School","Goole","DN149LB",46.7,"412","366",0.21,"DN14","DONCASTER","SOUTH YORKSHIRE"
135294,"Havelock Academy","Grimsby","DN328JH",36.4,"488","495",-0.36,"DN32","DONCASTER","SOUTH YORKSHIRE"
